Date_of_Payment,lat,long,pay,day
2013-08-01,32.753927,-97.786026,1600,0
2013-08-01,38.625541,-77.271644,11.9,0
2013-08-01,38.656502,-90.454219,12.54,0
2013-08-01,39.052158,-77.121096,1000,0
2013-08-01,39.425137,-84.472925,1600,0
2013-08-01,39.646371,-84.171733,9.54,0
2013-08-01,39.718539,-105.245659,2400,0
2013-08-01,40.263457,-75.617195,20.21,0
2013-08-01,40.347017,-79.500729,4800,0
2013-08-01,40.576611,-74.362616,1600,0
2013-08-01,40.604372,-75.473127,2400,0
2013-08-01,40.754757,-73.601772,3376.86,0
2013-08-01,40.765309,-74.98743,1600,0
2013-08-01,40.768823,-73.960257,1000,0
2013-08-01,40.913482,-74.001623,34.54,0
2013-08-01,40.944997,-74.068964,1000,0
2013-08-01,41.85414,-71.437752,3200,0
2013-08-01,42.470639,-82.902194,8.88,0
2013-08-01,43.011127,-83.803045,1600,0
2013-08-01,43.79132,-111.771375,10.19,0
2013-08-01,38.578052,-90.42563,83,0
2013-08-01,37.490387,-122.212846,3200,0
2013-08-01,36.053498,-95.920371,15.22,0
2013-08-01,36.045543,-95.956267,1000,0
2013-08-01,27.471379,-82.37934,2400,0
2013-08-01,29.160525,-81.942516,12.12,0
2013-08-01,29.188732,-81.231384,172.88,0
2013-08-01,29.550411,-95.128758,3200,0
2013-08-01,30.078597,-81.847794,14.01,0
2013-08-01,30.191737,-81.603557,2400,0
2013-08-01,30.290839,-81.631465,86.44,0
2013-08-01,32.24425,-110.92318,2400,0
2013-08-01,32.692682,-96.623022,99.72,0
2013-08-01,47.615471,-122.207221,1600,0
2013-08-01,32.771419,-97.291484,1600,0
2013-08-01,33.054154,-117.250253,9.42,0
2013-08-01,33.082192,-117.267169,11.38,0
2013-08-01,33.162417,-96.71546,1000,0
2013-08-01,33.276539,-112.18717,7400,0
2013-08-01,33.579122,-117.731534,1603.42,0
2013-08-01,33.705787,-117.816189,1600,0
2013-08-01,33.707568,-117.845746,27.39,0
2013-08-01,33.786594,-118.298662,4808.79,0
2013-08-01,35.078775,-89.841963,7.15,0
2013-08-01,32.774699,-117.148616,7.83,0
2013-08-01,26.595867,-80.22087,4800,0
2013-08-01,26.22131,-80.26137,1000,0
2013-08-02,33.44204,-116.861027,1.09,1
2013-08-02,37.592095,-77.495206,2.21,1
2013-08-02,35.123644,-89.842541,9.56,1
2013-08-02,38.656502,-90.454219,13,1
2013-08-02,30.788123,-88.088073,99.52,1
2013-08-02,30.715588,-88.096,49.76,1
2013-08-02,30.290839,-81.631465,194.08,1
2013-08-02,30.119884,-81.791546,10.7,1
2013-08-02,28.597377,-81.303592,18.85,1
2013-08-02,28.06374,-81.711071,7.77,1
2013-08-02,40.08561,-75.151569,1.33,1
2013-08-02,40.289021,-75.065486,13.76,1
2013-08-02,40.669251,-75.334887,36.82,1
2013-08-02,40.801131,-75.310958,18.41,1
2013-08-02,42.506468,-83.348394,12.82,1
2013-08-02,47.615471,-122.207221,9.03,1
2013-08-02,37.646081,-121.862128,60.43,1
2013-08-02,37.925039,-122.512035,66.93,1
2013-08-04,26.518049,-80.079114,1.75,3
2013-08-05,33.752886,-116.055617,1.14,4
2013-08-05,32.214075,-110.883744,7.84,4
2013-08-05,33.786594,-118.298662,41.23,4
2013-08-05,35.078775,-89.841963,7.26,4
2013-08-05,35.631003,-77.381019,10.98,4
2013-08-05,38.62136,-121.332191,20.56,4
2013-08-05,39.892263,-74.94075,1.64,4
2013-08-05,40.656802,-73.622523,66.08,4
2013-08-05,40.667352,-73.638523,66.08,4
2013-08-05,43.121612,-77.731127,19.04,4
2013-08-05,33.640302,-117.769442,19.75,4
2013-08-05,33.276539,-112.18717,15.21,4
2013-08-05,29.269288,-98.33469,99.17,4
2013-08-05,27.556714,-99.475079,99.17,4
2013-08-05,26.518049,-80.079114,15.5,4
2013-08-05,32.035885,-110.262611,15.68,4
2013-08-06,43.661963,-116.195004,14.09,5
2013-08-06,40.634873,-74.016905,119.21,5
2013-08-06,40.491002,-74.523648,96.25,5
2013-08-06,39.425137,-84.472925,94.88,5
2013-08-06,39.244659,-84.345489,94.88,5
2013-08-06,38.967311,-76.610143,7.64,5
2013-08-06,36.850729,-119.802227,3.66,5
2013-08-06,36.062203,-95.873067,8.11,5
2013-08-06,35.078775,-89.841963,3.17,5
2013-08-06,33.786594,-118.298662,58.43,5
2013-08-06,33.675714,-101.906553,14.3,5
2013-08-06,33.579122,-117.731534,9.39,5
2013-08-06,33.553346,-111.879806,12.04,5
2013-08-06,28.031495,-82.496367,95.03,5
2013-08-06,27.871964,-82.438841,95.03,5
2013-08-06,27.556714,-99.475079,98.45,5
2013-08-06,42.968507,-78.749153,777.05,5
2013-08-06,28.077403,-82.444209,95.03,5
2013-08-06,28.239369,-82.736882,95.03,5
2013-08-06,29.269288,-98.33469,98.45,5
2013-08-06,32.771419,-97.291484,9.36,5
